Score,Popularity,Rank,Members,Description,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating
8.05,2299,562,84,Fifth season of Date A Live. ,"Date A Live 5, Date A Live Fifth Season, DAL 5",デート・ア・ライブⅤ,Date A Live V,TV,12,Currently Airing,"Apr 10, 2024 to ?",Spring 2024,Wednesdays at 23:30 (JST),"AT-X, Nippon Columbia, Docomo Anime Store, Kadokawa Media House, Kadokawa, Geek Pictures","None found, add some",Geek Toys,Light novel,"ActionAction, FantasyFantasy, RomanceRomance, Sci-FiSci-Fi",,23 min. per ep.,R - 17+ (violence & profanity)
8.05,400,563,548,"Hole—a dark, decrepit, and disorderly district where the strong prey on the weak and death is an ordinary occurrence—is all but befitting of the name given to it. A realm separated from law and ethics, it is a testing ground to the magic users who dominate it. As a race occupying the highest rungs of their society, the magic users think of the denizens of Hole as no more than insects. Murdered, mutilated, and made experiments without a second thought, the powerless Hole dwellers litter the halls of Hole's hospital on a daily basis.

Possessing free access to and from the cesspool, and with little challenge to their authority, the magic users appear indomitable to most—aside for a few. Caiman, more reptile than man, is one such individual. He hunts them on a heedless quest for answers with only a trusted pair of bayonets and his immunity to magic. Cursed by his appearance and tormented by nightmares, magic users are his only clue to restoring his life to normal. With his biggest obstacle being his stomach, his female companion Nikaidou, who runs the restaurant Hungry Bug, is his greatest ally.

[Written by MAL Rewrite]",,ドロヘドロ,,TV,12,Finished Airing,"Jan 13, 2020 to Mar 30, 2020",Winter 2020,Mondays at 00:00 (JST),"Shogakukan-Shueisha Productions, Mainichi Broadcasting System, Movic, TOHO animation, BS11, Shogakukan, Sumitomo, RAY, Pia","None found, add some",MAPPA,Manga,"ActionAction, ComedyComedy, FantasyFantasy, HorrorHorror",SeinenSeinen,23 min. per ep.,R - 17+ (violence & profanity)
8.05,616,564,379,"As Mikado Ryuugamine continues to purge the Dollars from within in accordance with his warped sense of justice, Masaomi Kida hopes to bring his friend back to his senses by bringing the Yellow Scarves together once more. Little do they know that a far more dominant force is about to enter their struggle for power, one that their friend Anri Sonohara is all too familiar with.

Meanwhile, the group that has gathered at Shinra Kishitani's apartment realizes that they are on the brink of something life-changing, an event that will throw Ikebukuro into a spiral of confusion. Their anxiety is realized when reports of Celty's head being found in public start to appear all over the news as Kasane Kujiragi begins to make her move.

Gone are the brief periods of tranquility as the current turmoil sets the stage for one final performance in this thrilling conclusion to the story of Ikebukuro's finest.

[Written by MAL Rewrite]",Durarara!!x2 Ketsu,デュラララ!!×2 結,Durarara!! x2 Ketsu,TV,12,Finished Airing,"Jan 9, 2016 to Mar 26, 2016",Winter 2016,Saturdays at 23:30 (JST),Aniplex,Aniplex of America,Shuka,Light novel,"ActionAction, MysteryMystery, SupernaturalSupernatural",,24 min. per ep.,R - 17+ (violence & profanity)
8.05,4083,565,29,"The Free Planets Alliance's invasion of the Galactic Empire has failed after supply mismanagement led to heavy losses. Unwilling to abort the expedition despite being greatly outnumbered, Fleet Admiral Lazar Lobos orders the remaining Alliance fleets to gather in the Amritsar Starzone for a final stand against the incoming counterattack.

Strategic genius Fleet Admiral Reinhard von Lohengramm leads the Imperial forces into this decisive battle with an overwhelming advantage. However, his rival, tactical magician Vice Admiral Yang Wen-li of the Alliance, once again makes up for the incompetence of his superiors and stages a narrow escape for himself and his fellow soldiers. Though both Reinhard and Yang are displeased with the outcome—the former for his imperfect victory and the latter for the tremendous casualties—their attention must turn to the bubbling political unrest on both sides of the galaxy.

[Written by MAL Rewrite]",Ginga Eiyuu Densetsu: Die Neue These 2nd Season,銀河英雄伝説 Die Neue These 星乱,Legend of the Galactic Heroes: Die Neue These - Stellar War Part 1,Movie,4,Finished Airing,"Sep 27, 2019",,,Shochiku,"None found, add some",Production I.G,Novel,"DramaDrama, Sci-FiSci-Fi",,25 min. per ep.,R - 17+ (violence & profanity)
8.05,1529,566,150,"After successfully holding off the invasion by Aftokrator, the Border Defense Agency prepares an away mission into the Neighbor's dimension. However, like in previous scouting expeditions, only A-rank teams are certain to secure a spot. As the B-rank wars continue, Osamu Mikumo and the rest of Tamakoma-2 quickly fight to the top in an attempt to obtain a promotion before the operation begins.

Meanwhile, a new Neighbor ship approaches Border Headquarters. Noticing that the attackers are targeting the Border Expedition Ship, forces are hastily sent to combat them. However, with fewer squads available due to the proceeding rank wars, the organization is sent into disarray. This latest offensive from the Neighbors shrouds the fate of the all-important expedition ship in uncertainty.

[Written by MAL Rewrite]",,ワールドトリガー,,TV,12,Finished Airing,"Jan 10, 2021 to Apr 4, 2021",Winter 2021,Sundays at 01:30 (JST),TV Asahi,"None found, add some",Toei Animation,Manga,"ActionAction, Sci-FiSci-Fi",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older
8.05,1696,567,132,"Kamisama, Suterareru
Riding the high of a heartfelt kiss she shared with her familiar Tomoe, Nanami Momozono seems like nothing can bring her down. However, that changes when she witnesses Tomoe receive a mysterious black box and claim that possessing it, he no longer needs Nanami. By creating the perfect diversion, Nanami is determined to find out what this box contains.

Kamisama, Onsen ni Iku
After Nanami overhears her familiar Mizuki talk about her possibly being too spoiled by Tomoe, she becomes hell-bent on proving her capability to be independent. During her trip with Tomoe to a hot spring hotel, Nanami learns about a stone that allegedly grants a lifetime of happiness to couples who touch it together. However, the long path to the stone may prove a bit overwhelming as long as Nanami refuses Tomoe's help.

[Written by MAL Rewrite]",Kami-sama Hajimemashita OVA,神様はじめました,Kamisama Kiss OVA,OVA,2,Finished Airing,"Aug 20, 2013",,,"None found, add some","None found, add some",TMS Entertainment,Manga,"ComedyComedy, FantasyFantasy, RomanceRomance",ShoujoShoujo,14 min. per ep.,PG-13 - Teens 13 or older
8.05,519,568,435,"In the backwater town of Bellforest lives a 14-year-old boy named Renton Thurston. He desires to leave his home behind and join the mercenary group known as Gekkostate, hoping to find some adventure to brighten up his mundane life. However, stuck between his grandfather's insistence to become a mechanic like him and the pressure of his deceased father's legacy, the only excitement Renton finds is in his pastime of riding the Trapar wave particles that are dispersed throughout the air, an activity akin to surfing.

Everything changes when an unknown object crashes through Renton's garage, discovered to be a Light Finding Operation—a robot capable of riding the Trapar waves—specifically known as the Nirvash typeZERO. Its pilot is a young girl named Eureka, a member of the Gekkostate, who requests a tune-up for the Nirvash. Their meeting sparks the beginning of Renton's involvement with the Gekkostate as he takes off alongside Eureka as the co-pilot of the Nirvash.

[Written by MAL Rewrite]",Psalms of Planets Eureka Seven,交響詩篇エウレカセブン,Eureka Seven,TV,50,Finished Airing,"Apr 17, 2005 to Apr 2, 2006",Spring 2005,Sundays at 07:00 (JST),"Aniplex, Bandai Visual, Kadokawa Shoten, Mainichi Broadcasting System, Bandai, Ashi Productions, Sony Music Entertainment, Bandai Namco Games, Hakuhodo DY Media Partners, Bandai Channel, USEN","Funimation, Bandai Entertainment",Bones,Original,"ActionAction, AdventureAdventure, DramaDrama, RomanceRomance, Sci-FiSci-Fi",,24 min. per ep.,PG-13 - Teens 13 or older
8.05,2678,569,66,"Kaitou Kid dares to challenge the police once more, setting his sights on the Russian Imperial Easter Egg. With the date, time, and place, the Osaka police force scrambles to stop him. But this time, Kid may have bitten off more than he can chew—Conan Edogawa, Heiji Hattori, and numerous others are also trying to get their hands on the jeweled egg.

As the race for possession of the egg escalates, a string of murders threatens those after it, and at the same time the tragic truth behind the Romanov Dynasty is finally revealed. At the center of these developments, it is up to Conan to solve the gruesome murders and catch Kid, all while protecting those close to him and concealing his identity.

[Written by MAL Rewrite]",Detective Conan Movie 03: The Last Wizard of the Century,名探偵コナン 世紀末の魔術師,Case Closed Movie 03: The Last Wizard of the Century,Movie,1,Finished Airing,"Apr 17, 1999",,,"None found, add some",Funimation,TMS Entertainment,Manga,"AdventureAdventure, ComedyComedy, MysteryMystery",ShounenShounen,1 hr. 40 min.,PG-13 - Teens 13 or older
8.05,2930,570,56,"After receiving a strange invitation, Kogorou Mouri pays a visit to the Miracle Land theme park along with his daughter Ran, Conan Edogawa, and the Detective Boys. Once there, Kogorou and Conan are tasked with finishing an unsolved case by a mysterious stranger. Realizing that the invitations were actually an elaborate trap, the two have just 12 hours to solve the case or face grave danger.

With the help of familiar faces like Heiji Hattori, Kaitou Kid, and even Saguru Hakuba, the group of detectives must unravel the web of clues surrounding the case in order to find the culprit and bring them to justice before it's too late.

[Written by MAL Rewrite]",Detective Conan Movie 10: Requiem of the Detectives,名探偵コナン 探偵たちの鎮魂歌[レクイエム],Detective Conan Movie 10: The Private Eyes' Requiem,Movie,1,Finished Airing,"Apr 15, 2006",,,"None found, add some","None found, add some",TMS Entertainment,Manga,"AdventureAdventure, ComedyComedy, MysteryMystery",ShounenShounen,1 hr. 51 min.,PG-13 - Teens 13 or older
8.05,805,571,299,"Suffering from frequent asthma attacks, young Anna Sasaki is quiet, unsociable, and isolated from her peers, causing her foster parent endless worry. Upon recommendation by the doctor, Anna is sent to the countryside, in hope that the cleaner air and more relaxing lifestyle will improve her health and help clear her mind. Engaging in her passion for sketching, Anna spends her summer days living with her aunt and uncle in a small town near the sea.

One day while wandering outside, Anna discovers an abandoned mansion known as the Marsh House. However, she soon finds that the residence isn't as vacant as it appears to be, running into a mysterious girl named Marnie. Marnie's bubbly demeanor slowly begins to draw Anna out of her shell as she returns night after night to meet with her new friend. But it seems there is more to the strange girl than meets the eye—as her time in the town nears its end, Anna begins to discover the truth behind the walls of the Marsh House.

Omoide no Marnie tells the touching story of a young girl's journey through self-discovery and friendship, and the summer that she will remember for the rest of her life.

[Written by MAL Rewrite]",,思い出のマーニー,When Marnie Was There,Movie,1,Finished Airing,"Jul 19, 2014",,,"Dentsu, TOHO, Disney Platform Distribution, Nippon Television Network",GKIDS,Studio Ghibli,Novel,"DramaDrama, MysteryMystery, SuspenseSuspense",,1 hr. 42 min.,G - All Ages
8.05,2899,572,57,"Hades is planning to take over the world, to achieve that goal, he sends out deceased Gold Saints to take Athena's head. Seiya and the other Bronze Saints come to help but their help isn't appreciated by the remaining Gold Saints that are still alive. 

(Source: ANN)","Saint Seiya Hades, Saint Seiya: The Hades Sanctuary Chapter",聖闘士星矢 冥王ハーデス十二宮編,Saint Seiya: The Hades Chapter - Sanctuary,OVA,13,Finished Airing,"Nov 9, 2002 to Jul 25, 2003",,,"None found, add some","None found, add some",Toei Animation,Manga,"ActionAction, AdventureAdventure, FantasyFantasy, Sci-FiSci-Fi",ShounenShounen,25 min. per ep.,PG-13 - Teens 13 or older
8.05,793,573,303,"Whenever he is not getting pummeled in the karate club after school, high schooler Kenichi Shirahama can be found with his head buried in one of the many self-help books he carries with him every day. One day, on the way to school, Kenichi accidentally frightens the new student in his class, leading her to throw him down onto the ground. After apologizing for her violent reflexes, she introduces herself as Miu Furinji and asks Kenichi to be her friend.

Later that day, after karate club practice, Kenichi is given an ultimatum by one of the other club members: they will fight next week and the loser has to quit the club permanently. While lamenting his imminent defeat in the upcoming fight, Kenichi witnesses Miu fend off three thugs easily. Fed up with being perpetually bullied by those more powerful than him, he asks Miu for tips on how to become a better fighter. She directs Kenichi to her grandfather's dojo, Ryouzanpaku, where several skilled—albeit strange—masters of extreme martial arts have gathered to hone their abilities. Miu promises that Kenichi will become significantly stronger, but only if he manages to stay alive.

With those ominous words looming in his mind and the appearance of a criminal martial arts gang known as ""Ragnarok"" threatening the safety of those around him, Kenichi takes the first step on his journey to become a world-class fighter and a defender of the defenseless.

[Written by MAL Rewrite]",History's Strongest Disciple Kenichi,史上最強の弟子 ケンイチ,KenIchi: The Mightiest Disciple,TV,50,Finished Airing,"Oct 8, 2006 to Sep 30, 2007",Fall 2006,Sundays at 00:55 (JST),"TV Tokyo, Tokyo Movie Shinsha, Shogakukan","Funimation, Discotek Media",TMS Entertainment,Manga,"ActionAction, ComedyComedy",ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older
8.04,709,574,332,"Even after spending a considerable amount of time with Takagi, Nishikata is still struggling to find a perfect plan to defeat the expert teaser. A battle of wits, a contest of physical prowess, a test of courage—any strategy he employs to expose her weaknesses is to no avail. On the contrary, Nishikata's pitiful attempts only reveal more of his own flaws, which Takagi takes advantage of to become increasingly daring in her teasing attempts. To make things worse for Nishikata, rumors about him and Takagi may have spread in class due to the frequent interactions between them.

However, the optimistic Nishikata believes that wisdom comes with age and that as the days go by, his experience with her constant teasing will eventually bear fruit, leading him to the awaited moment of victory. Thus, Nishikata continues to strive for the seemingly impossible—to outsmart Takagi and make her blush with embarrassment.

[Written by MAL Rewrite]
","Skilled Teaser Takagi-san 2nd Season, Karakai Jouzu no Takagi-san Second Season",からかい上手の高木さん2,Teasing Master Takagi-san 2,TV,12,Finished Airing,"Jul 7, 2019 to Sep 22, 2019",Summer 2019,Sundays at 23:30 (JST),"Dentsu, TMS Entertainment, Asmik Ace, TOHO animation, Shogakukan, Sumitomo","None found, add some",Shin-Ei Animation,Manga,,ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older
8.04,470,575,479,"After an exciting and momentous cultural festival, Shouko Komi continues her endeavor to make one hundred friends alongside her friend and classmate Hitohito Tadano. As winter begins, the class is joined by the seemingly delinquent student Makoto Katai, who has been absent since the first week of school. Despite his intimidating appearance, Katai has difficulty communicating with others and just wants to befriend his classmates.

As new friendships form and current ones deepen, Komi and Tadano’s relationship begins to change—though not necessarily for the worse.

[Written by MAL Rewrite]","Komi-san wa, Communication Shougai desu. 2",古見さんは、コミュ症です。 2,Komi Can't Communicate Season 2,TV,12,Finished Airing,"Apr 7, 2022 to Jun 23, 2022",Spring 2022,Thursdays at 00:00 (JST),"TV Tokyo, Dentsu, Shogakukan-Shueisha Productions, Half H.P Studio, Nippon Columbia","None found, add some",OLM,Manga,,ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older
8.04,751,576,318,"After many trials and tribulations, Iruma Suzuki is finally happily living among demons despite having to hide his true identity as a human. Even more so, he has now found his ambition in life: keep ranking up in this world!

However, that plan is halted when Iruma's club is temporarily dismissed, and he is forced to be part of the student council, known for its strictness toward rowdy students. Its cold-hearted president is Amelie Azazel, Iruma's friend. Although Iruma is not used to following their rigid schedule and many rules, he still wants to prove himself and help Amelie alongside all of the other members of the council. 

But trouble arises when Amelie's personality completely changes due to strange circumstances, putting the student council's reputation in jeopardy. Will Iruma be able to save them and avoid having the whole school turn into pure chaos?

[Written by MAL Rewrite]",Welcome to Demon School! Iruma-kun 2nd Season,魔入りました！入間くん,Welcome to Demon School! Iruma-kun Season 2,TV,21,Finished Airing,"Apr 17, 2021 to Sep 11, 2021",Spring 2021,Saturdays at 17:35 (JST),"NHK, NHK Enterprises","None found, add some",Bandai Namco Pictures,Manga,"ComedyComedy, FantasyFantasy",ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older
8.04,2769,577,62,"On a rainy afternoon, the Detective Boys witness a murder across the street. Barred by traffic, the culprit slips away and Conan Edogawa is left a single clue by a dying detective. Days later, another detective is found murdered in a parking lot, leaving the police rattled. Suspicious that the culprit is one of their own, everyone in the police department without an alibi is suspect. But despite being on high alert, they are outmaneuvered and suffer yet another attack—this time with Ran Mouri finding herself in the crossfire.

Traumatized, Ran wakes in the hospital with retrograde amnesia, remembering nothing about her life. Soon released, she struggles to remember her past and grows fearful of not regaining her memories before being targeted by the killer for what she witnessed. As she is guarded by friends and family, it is up to Conan to piece together the clues and find who the murderer is before they strike again.

[Written by MAL Rewrite]",Detective Conan Movie 04: Captured in Her Eyes,瞳の中の暗殺者,Case Closed Movie 04: Captured In Her Eyes,Movie,1,Finished Airing,"Apr 22, 2000",,,Polygram Japan,Funimation,TMS Entertainment,Manga,"AdventureAdventure, ComedyComedy, MysteryMystery",ShounenShounen,1 hr. 40 min.,PG-13 - Teens 13 or older
8.04,403,578,544,"The world of dreams can be an incredible window into the psyche, showing one's deepest desires, aspirations, and repressed memories. One hopeful tech lab has been developing the ""DC Mini,"" a device with the power to delve into the dreams of others. Atsuko Chiba and Kosaku Tokita have been tirelessly working to develop this technology with the hopes of using it to deeply explore patients' minds and help cure them of their psychological disorders.

However, having access to the deepest corners of a person's mind comes with a tremendous responsibility. In the wrong hands, the DC Mini could be used as a form of psychological terrorism and cause mental breakdowns in the minds of targets. When this technology is stolen and people around them start acting strangely, Atsuko and Kosaku know they have a serious problem on their hands. Enlisting the help of Officer Konakawa, who has been receiving this experimental therapy, they search both the real and dream worlds for their mental terrorist.

[Written by MAL Rewrite]",,パプリカ,Paprika,Movie,1,Finished Airing,"Nov 25, 2006",,,Sony Pictures Entertainment,Manga Entertainment,Madhouse,Novel,"Avant GardeAvant Garde, Award WinningAward Winning, FantasyFantasy, MysteryMystery, Sci-FiSci-Fi, SuspenseSuspense",,1 hr. 30 min.,R+ - Mild Nudity
8.04,2492,579,74,"""The time of destruction is coming ever closer without a doubt. It cannot be stopped.""
To know death, to gaze at death, to face death.

Makoto and his allies have grown through the many meetings and partings they have experienced.

Their fight might not be for the sake of the world, but for themselves. Even so, they have continued to fight, believing that there are peaceful days waiting at the end of the battle.

However, a boy says that destruction is the fate that humanity must shoulder. The boy they believed to be their friend tells them the truth of the situation without an emotion on his face.

The season changes to winter. Makoto makes a decision in order to greet the spring that is waiting beyond...

(Source: ANN)",,PERSONA3 THE MOVIE —#4 Winter of Rebirth—,Persona 3 the Movie: #4 Winter of Rebirth,Movie,1,Finished Airing,"Jan 23, 2016",,,"Aniplex, Atlus","None found, add some",A-1 Pictures,Game,"ActionAction, FantasyFantasy, SupernaturalSupernatural",,1 hr. 45 min.,R - 17+ (violence & profanity)
8.04,9404,580,3,"Revealing himself to be a Dual Knight, Long Hao Chen triumphs in his match within his temple and advances to the finals. But before the grand finals can begin, ranking matches are conducted in each temple to determine the strongest within. During the rankings, Hao Chen is injured, enraging Sheng Cai'er and driving her to seek vengeance for what happened to him. Her actions cause a fight between the Knight Temple and Assassin Temple, only to be subdued after a shocking revelation—that Sheng Cai'er is a Reincarnated Saint.

The finals for the Demon Hunting Team Competition begin with the division of the sixty remaining participants into six groups. The top sixteen participants are then further pitted against each other to determine the top three. Each of the top three will be rewarded with a spiritual stove and the right to pick their teammates.

In order to become a knight that is capable of defeating the Demon Lord, Long Hao Chen must strive to be first in this competition so he can select the best teammates to give him a fighting chance.

[Written by MAL Rewrite]",,神印王座 第二季,Throne of Seal 2nd Season,ONA,130,Currently Airing,"Nov 10, 2022 to ?",,,"Tencent Penguin Pictures, Xuanshi Tangmen, Tianshi Wenhua","None found, add some",Shenman Entertainment,Web novel,"ActionAction, AdventureAdventure, FantasyFantasy",,20 min. per ep.,PG-13 - Teens 13 or older
8.04,1554,581,147,"In the near future, augmented reality has become a key part of daily life. A gentle middle school girl named Yuuko ""Yasako"" Okonogi and her family have just moved to Daikoku City despite rumors of people disappearing. There, her grandmother, nicknamed ""Mega-baa,"" runs a shop called Megasia that specializes in illegal tools which interact with parts of the virtual world.

Mega-baa also hosts an unofficial detective agency called ""Coil,"" a group of children around Yasako's age who find and handle corruption of the virtual world. Yasako gets involved with the group when Fumie Hashimoto, a playful member of Coil, helps rescue her cyberdog Densuke after getting trapped in virtual space while chasing a mysterious virus. Also investigating these corruptions and viruses is an abrasive hacker named Yuuko Amasawa, who the others take to calling Isako.

Can Coil discover the truths behind the mysterious viruses and corruption, and if they can, at what cost?

[Written by MAL Rewrite]","Cyber Coil, Coil - A Circle of Children, Denno Coil",電脳コイル,Den-noh Coil,TV,26,Finished Airing,"May 12, 2007 to Dec 1, 2007",Spring 2007,Unknown,"Bandai Visual, NHK, Tokuma Shoten",Maiden Japan,Madhouse,Original,"AdventureAdventure, Award WinningAward Winning, DramaDrama, MysteryMystery, Sci-FiSci-Fi",,25 min. per ep.,G - All Ages
8.04,747,582,321,"In Fuyuki City, a long-lived ritual involving battles between seven magi and their servants is taking place. This ritual is known as the Holy Grail War and it promises to grant the victor any wish. With the war now entering its fifth iteration, the stage is set for Rin Toosaka to succeed her father's legacy.

Rin wishes to summon Saber, said to be the most powerful class. But when she miscalculates and summons Archer instead, how will she fare in the battles that lie ahead of her?

[Written by MAL Rewrite]
",Fate/stay night (2014) Episode 00,Fate/stay night [Unlimited Blade Works] プロローグ,Fate/stay night: Unlimited Blade Works - Prologue,TV Special,1,Finished Airing,"Oct 5, 2014",,,"Aniplex, Notes",Aniplex of America,ufotable,Visual novel,"ActionAction, FantasyFantasy, SupernaturalSupernatural",,51 min.,PG-13 - Teens 13 or older
8.04,571,583,400,"Kintarou Ooe is a specialist in part-time work, riding all over the highways and byways of Japan on his trusty steed, the Mikazuki 5, and finding employment wherever he can. His adventures bring him knowledge and experience that can't be taught in a classroom, from political corruption to the delicacy of a young woman's heart. With nothing but the open road before him—not to mention the many beautiful women along the way—Kintarou pursues his spirit of education while attempting to hold down his various odd jobs, however undignified they may be. As he learns from each task he takes on, who knows what could happen? He might even be able to save the world one day. One thing is for sure—this will all be very educational!

[Written by MAL Rewrite]",,ゴールデンボーイ,Golden Boy,OVA,6,Finished Airing,"Oct 27, 1995 to Jun 28, 1996",,,"KSS, Shueisha","ADV Films, Media Blasters, Discotek Media",APPP,Manga,"AdventureAdventure, ComedyComedy, EcchiEcchi",SeinenSeinen,28 min. per ep.,R+ - Mild Nudity
8.04,399,584,550,"Kazuya Kujou is a foreign student at Saint Marguerite Academy, a luxurious boarding school in the Southern European country of Sauville. Originally from Japan, his jet-black hair and dark brown eyes cause his peers to shun him and give him the nickname ""Black Reaper,"" based on a popular urban legend about the traveler who brings death in the spring.

On a day like any other, Kujou visits the school's extravagant library in search of ghost stories. However, his focus soon changes as he becomes curious about a golden strand of hair on the stairs. The steps lead him to a large garden and a beautiful doll-like girl known as Victorique de Blois, whose complex and imaginative foresight allows her to predict their futures, now intertwined.

With more mysteries quickly developing—including the appearance of a ghost ship and an alchemist with the power of transmutation—Victorique and Kujou, bound by fate and their unique skills, have no choice but to rely on each other.

[Written by MAL Rewrite]",,GOSICK -ゴシック-,,TV,24,Finished Airing,"Jan 8, 2011 to Jul 2, 2011",Winter 2011,Saturdays at 01:23 (JST),"TV Tokyo, Kadokawa Shoten, KlockWorx, Memory-Tech, NTT Docomo",Funimation,Bones,Light novel,"DramaDrama, MysteryMystery, RomanceRomance",,24 min. per ep.,R - 17+ (violence & profanity)
8.04,4154,585,28,"The story is set during Japan's Sengoku Jidai (Era of the Warring States) and centers on Furuta Sasuke, a vassal of the great warlord Oda Nobunaga and a man obsessed with tea ceremony and material desires in his pursuit of a fortuitous life. Having learned from Oda and the legendary tea master Sen no Soueki, Furuta walks the way of the Hyouge Mono.

(Source: ANN)",Hyougemono,へうげもの,,TV,39,Finished Airing,"Apr 7, 2011 to Jan 26, 2012",Spring 2011,Unknown,"NHK, Sogo Vision","None found, add some",Bee Train,Manga,,SeinenSeinen,25 min. per ep.,R - 17+ (violence & profanity)
8.04,1500,586,155,"When Tsukasa Yuzaki receives a brand new smartphone as a surprise gift from her husband Nasa, she is delighted, quickly adding in contacts and mastering the arts of LINE and sticker-sending. However, her joy is short-lived: a former coworker calls in Nasa for a difficult job, and Tsukasa is dismayed to learn that her beloved might have to work through the night.

Faced with her first night alone since her marriage to Nasa, will Tsukasa and her new phone be able to overcome the distance that separates the young couple and defeat the loneliness that threatens to pull her under?

[Written by MAL Rewrite]

","Tonikaku Kawaii OVA, Tonikawa, Tonikaku Kawaii Episode 13",トニカクカワイイ 〜SNS〜,TONIKAWA: Over The Moon For You - SNS,OVA,1,Finished Airing,"Aug 18, 2021",,,"Shogakukan-Shueisha Productions, Warner Bros. Japan, KlockWorx, Shogakukan, Crunchyroll","None found, add some",Seven Arcs,Manga,"ComedyComedy, RomanceRomance",ShounenShounen,23 min.,PG-13 - Teens 13 or older
8.04,405,587,543,"With a new school year comes a new crowd of classmates, and for their final year of junior high, aspiring writer Kotarou Azumi and track team member Akane Mizuno end up in the same class. Though initially complete strangers, a few chance encounters stir an innocent desire within their hearts. A yearning gaze, a fluttering heart—the hallmarks of young love slip into their lives as fate brings their paths to a cross.

However, though love is patient and love is kind, Kotarou and Akane discover it is not always straightforward. Despite the comfort they find in each other's company, heartache and anxiety come hand in hand with pursuing the feelings in their hearts. With the uncertainty of how the other truly feels as well as the competing affections of those around them, the road ahead is unclear. Even so, under the shining light of a beautiful full moon, Kotarou gathers his courage to ask Akane a single question, one that forever changes their quiet relationship.

[Written by MAL Rewrite]","The Moon is Beautiful, As the Moon, So Beautiful",月がきれい,Tsukigakirei,TV,12,Finished Airing,"Apr 7, 2017 to Jun 30, 2017",Spring 2017,Fridays at 00:00 (JST),"Sotsu, Mainichi Broadcasting System, flying DOG","Funimation, Crunchyroll",feel.,Original,,,24 min. per ep.,PG-13 - Teens 13 or older
8.04,4697,588,21,"The protagonist Wu Liuqi originally lived a carefree life on Xiaoji Island, but his identity became a mystery due to amnesia. As outsiders landed on the island and recognized Wu Liuqi, various conspiracies began to cover Xiaoji Island. So Wu Liuqi decided to return to Xuanwu Kingdom to meet his destiny in order to protect his partners and their homeland. 

(Source: Bilibili, Google translated)","Cike Wuliuqi 4th Season, Ci Ke Wu Liu Qi 4th Season, Assassin Seven 4th Season, Killer Seven 4th Season",伍六七之暗影宿命,Scissor Seven: Shadow Fate,ONA,10,Finished Airing,"Jan 18, 2023 to Mar 15, 2023",,,bilibili,"None found, add some","Sharefun Studio, AHA Entertainment",Original,"ActionAction, AdventureAdventure, ComedyComedy, DramaDrama, MysteryMystery",,15 min. per ep.,R - 17+ (violence & profanity)
8.04,2581,589,70,"For the appropriate price, your dearest wish can be granted at the shop of the peculiar Yuuko. Kimihiro Watanuki wishes to be rid of his ability to see spirits, and so as payment, he works for Yuuko doing whatever she needs him to do, from cleaning to errands to even helping out Yuuko's other clients. In xxxHOLiC Shunmuki, Watanuki and his friend and rival Shizuka Doumeki enjoy a meal with their friend Kohane Tsuyuri and her grandmother, reminiscing about how they have changed since meeting each other.

Later on, Watanuki has a dream in which he is visited by Doumeki's grandfather Haruka, who needs him to find some things in the family temple storeroom. Accompanied by Doumeki, he finds that this task is more akin to a treasure hunt, with each item leading them to another, and another, guiding them to an unexpected yet inevitable ending.

[Written by MAL Rewrite]",xxxHOLiC OVA,xxxHOLiC 春夢記,,OVA,2,Finished Airing,"Feb 17, 2009 to Jun 23, 2009",,,Kodansha,"None found, add some",Production I.G,Manga,"ComedyComedy, DramaDrama, MysteryMystery, SupernaturalSupernatural",SeinenSeinen,26 min. per ep.,PG-13 - Teens 13 or older
8.03,2579,590,70,"In the kingdom of Xoana, Lina Inverse and Gourry Gabriev unexpectedly come across their old companions, Zelgadis Graywords and Princess Ameilia Wil Tesla Saillune. Upon their reunion, the friends end up easily foiling the King of Xoana and his daughter's dastardly plans of world conquest.

Soon after, it is revealed that Zelgadis is in search of the world's most valuable magical tome, the Claire Bible, hoping to discover a method to recover his human body among the many secrets sheltered within it. Despite his protests, the rest of the group decides to join in the quest after hearing of his mission. However, just when they were wondering where to start looking for the legendary book, they stumble upon a mysterious priest by the name of Xellos, who claims that he may be of some help in their pursuit.

[Written by MAL Rewrite]",,スレイヤーズNEXT,Slayers Next,TV,26,Finished Airing,"Apr 5, 1996 to Sep 27, 1996",Spring 1996,Fridays at 18:30 (JST),"J.C.Staff, TV Tokyo, SoftX","Funimation, Central Park Media, Enoki Films",E&G Films,Light novel,"ActionAction, AdventureAdventure, ComedyComedy, FantasyFantasy",,24 min. per ep.,PG-13 - Teens 13 or older
